Mariwenn;Famille;Name;Position;Orthotropie;Hauteur;Densite;DBH;Germination;Masse;Pulpe;Enveloppe;Couleur
4663;Mimosaceae;Abarema_jupunba;3;;36;0,61;58,8;2;3;1;1;1
4667;Mimosaceae;Abarema_mataybifolia;2;;26;;23,6;2;3;1;1;1
5314;Opiliaceae;Agonandra_silvatica;3;;40;0,83;43,9;5;4;1;0;1
2869;Euphorbiaceae;Alchorneopsis_floribunda;2;;;0,44;41,4;1;2;1;1;1
3064;Papilionaceae;Alexa_wachenheimii;3;;42;0,49;83,3;;4;0;1;0
6863;Rubiaceae;Amaioua_guianensis;1;;11;0,63;18,2;;2;1;0;1
2871;Euphorbiaceae;Amanoa_guianensis;3;;30;0,84;52;2;4;0;1;0
271;Apocynaceae;Ambelania_acida;2;;20;0,55;20,7;1;2;1;0;1
8014;Violaceae;Amphirrhox_longifolia;1;;25;0,71;19,1;;2;0;1;0
125;Anacardiaceae;Anacardium_spruceanum;3;1;40;0,46;61,3;2;4;1;0;1
142;Annonaceae;Anaxagorea_dolichocarpa;1;0;8;0,58;13,2;1;3;0;1;0
3066;Papilionaceae;Andira_coriacea;3;1;42;0,73;73,3;4;5;1;0;0
3661;Lauraceae;Aniba_rosaeodora;3;1;32;0,68;45,3;3;4;1;0;1
3888;Loganiaceae;Antonia_ovata;3;;38;0,47;62,7;;1;0;1;0
7877;Tiliaceae;Apeiba_glabra;3;0;23;0,32;43,8;;1;1;2;0
7881;Tiliaceae;Apeiba_petoumo;3;0;30;0,37;61,6;;2;1;2;0
272;Apocynaceae;Aspidosperma_album;3;0;35;0,77;59,8;3;3;0;1;0
274;Apocynaceae;Aspidosperma_cruentum;3;0;25;;37,6;3;3;0;1;0
275;Apocynaceae;Aspidosperma_excelsum;3;0;32;0,79;;3;3;0;1;0
279;Apocynaceae;Aspidosperma_marcgravianum;3;0;45;0,72;73,3;1;3;0;1;0
579;Arecaceae;Astrocaryum_sciophilum;1;1;12;;15,1;4;5;1;2;0
651;Arecaceae;Attalea_maripa;2;;24;;31,5;4;5;1;2;0
4855;Moraceae;Bagassa_guianensis;4;1;45;0,71;125,4;1;1;1;0;1
4684;Mimosaceae;Balizia_pedicellaris;3;;44;0,52;89,1;2;2;1;1;0
1462;Papilionaceae;Bocoa_prouacensis;2;0;34;1,05;37,9;3;4;1;1;0
1107;Bombacaceae;Bombacopsis_nervosa;3;;36;0,47;43;;3;0;1;0
4857;Moraceae;Brosimum_acutifolium;3;0;35;0,62;76,4;4;3;1;0;1
4860;Moraceae;Brosimum_guianense;4;0;45;0,89;43,9;4;3;1;0;1
4863;Moraceae;Brosimum_rubescens;3;0;32;0,84;52,8;4;4;1;0;1
4864;Moraceae;Brosimum_utile;3;0;50;0,49;68,7;4;4;1;0;1
2097;Combretaceae;Buchenavia_grandis;4;;30;0,77;60,5;1;4;1;2;0
4009;Malpighiaceae;Byrsonima_densa;3;;34;0,62;46,9;;3;1;0;1
4016;Malpighiaceae;Byrsonima_laevigata;3;;23;0,62;36,2;;3;1;0;1
1731;Capparaceae;Capparis_maroniensis;2;;29;0,67;51,9;;4;1;2;0
1957;Clusiaceae;Caraipa_densifolia;2;;30;0,64;37,3;2;3;0;1;0
4570;Meliaceae;Carapa_procera;3;1;41;0,54;43,7;4;5;0;1;0
